AcceptedName,AcceptedGenus,AcceptedFamily,AcceptedOrder,AcceptedClass,AcceptedPhylum,TraitID_22,TraitID_42,Notes
Rhipidocladum racemiflorum,Rhipidocladum,Poaceae,Poales,Liliopsida,Tracheophyta,C3,,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhipsalis,Rhipsalis,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,,Xerophyte,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhipsalis floccosa,Rhipsalis,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,,Xerophyte,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhipsalis lindbergiana,Rhipsalis,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,,Xerophyte,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhipsalis parasitica,Rhipsalis,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,,Xerophyte,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhipsalis russellii,Rhipsalis,Cactaceae,Caryophyllales,Magnoliopsida,Tracheophyta,,Xerophyte,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhizocephalus orientalis,Rhizocephalus,Poaceae,Poales,Liliopsida,Tracheophyta,C3,,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhodospatha latifolia,Rhodospatha,Araceae,Alismatales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhodospatha oblongata,Rhodospatha,Araceae,Alismatales,Liliopsida,Tracheophyta,,Grass-Herb,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchoryza subulata,Rhynchoryza,Poaceae,Poales,Liliopsida,Tracheophyta,C3,,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
Rhynchosia edulis,Rhynchosia,Fabaceae,Fabales,Magnoliopsida,Tracheophyta,,Vine,Trait22 doi:10.1093/jxb/erw156;  Trait42 doi:10.1016/j.jaridenv.2019.104079
